Time,S_0,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,S_16,S_17,S_18,S_19,S_20,S_21,S_22,S_23,Total
2026-02-01 10:04:12,1000.0,1000.0,1024.03,1000.0,998.25,1065.79,1072.45,1055.89,1085.6,1093.67,1000.0,1000.0,350.45,0.0,874.62,0.0,619.4,549.31,623.1,622.75,623.47,681.85,840.38,1025.9,19206.92
2026-02-01 10:30:51,1000.0,1000.0,981.05,1000.0,962.6,1046.2,1043.79,1031.34,1089.12,1071.77,954.6,1000.0,195.6,0.0,880.52,0.0,538.99,450.33,531.44,513.96,520.4,589.69,781.93,966.82,18150.16
2026-02-01 10:56:40,1000.0,1000.0,1042.02,1000.0,1052.04,1140.5,1127.95,1125.59,1183.81,1158.06,1046.79,1000.0,293.06,0.0,901.7,0.0,611.2,530.41,578.14,558.42,570.22,644.39,835.25,1012.87,19412.43
2026-02-01 11:20:39,1000.0,1000.0,1096.99,1000.0,1111.45,1195.26,1183.12,1177.83,1219.32,1207.65,1100.87,1000.0,380.45,0.0,918.72,0.0,677.03,593.49,625.68,606.3,614.95,688.17,880.96,1064.24,20342.48
2026-02-01 11:45:54,1000.0,1000.0,1096.49,1000.0,1118.52,1199.45,1198.99,1178.09,1225.95,1218.81,1111.44,1008.56,284.94,0.0,955.04,0.0,642.55,544.75,604.05,581.77,591.0,669.24,872.26,1062.11,20164.02
2026-02-01 11:57:54,1000.0,1000.0,1127.47,1000.0,1161.27,1250.63,1242.46,1235.06,1269.22,1264.87,1148.72,1044.05,325.39,0.0,970.64,0.0,687.63,587.26,636.19,613.64,618.56,696.88,897.0,1080.18,20857.12
2026-02-01 12:47:45,1000.0,1000.0,1089.77,1000.0,1143.22,1239.69,1231.7,1217.81,1271.48,1255.69,1138.7,1031.43,254.52,0.0,962.8,0.0,631.41,537.61,597.5,562.36,571.6,662.52,872.02,1056.14,20327.97
2026-02-01 13:33:27,1000.0,1000.0,1055.18,1000.0,1138.68,1241.21,1228.16,1213.34,1278.57,1277.79,1160.25,987.6,245.03,0.0,964.83,0.0,618.63,524.27,582.12,532.46,540.83,635.99,855.55,1038.12,20118.64
2026-02-01 14:05:12,1000.0,1000.0,1072.23,1000.0,1133.5,1238.0,1222.84,1212.56,1284.33,1279.7,1168.14,1008.27,248.65,0.0,994.73,0.0,642.59,553.67,596.9,545.75,552.94,652.07,870.51,1061.28,20338.67
2026-02-01 14:46:53,1000.0,1000.0,1091.95,1000.0,1157.2,1268.3,1243.74,1249.49,1315.02,1306.37,1185.1,1019.33,254.11,0.0,1000.19,0.0,692.6,601.38,623.13,575.2,583.41,681.54,907.29,1084.27,20839.64
2026-02-01 15:02:53,1000.0,1000.0,1087.57,1000.0,1163.65,1272.8,1246.94,1250.59,1312.87,1306.37,1182.27,1014.98,251.19,0.0,991.84,0.0,678.07,584.94,616.71,568.17,577.4,673.93,886.05,1059.02,20725.36
2026-02-01 15:36:35,1000.0,1000.0,1113.99,1000.0,1198.94,1305.65,1281.63,1280.39,1343.8,1331.37,1210.08,1040.24,255.66,0.0,1007.7,0.0,717.75,626.9,650.4,603.67,621.08,713.35,944.47,1089.53,21336.61
2026-02-01 15:58:50,1000.0,1000.0,1125.3,1000.0,1214.23,1321.23,1292.65,1301.42,1375.42,1357.56,1223.74,1038.22,256.91,0.0,1007.41,0.0,737.84,643.1,651.01,602.14,622.73,715.46,972.43,1108.89,21567.69
2026-02-01 16:31:04,1000.0,1000.0,1230.29,1000.0,1290.32,1382.95,1361.74,1370.09,1446.21,1412.93,1297.13,1128.4,277.94,0.0,1097.42,0.0,892.77,805.56,787.73,734.12,743.69,837.93,1079.83,1217.45,23394.49
2026-02-01 16:58:06,1000.0,1000.0,1280.33,1000.0,1331.68,1409.54,1398.81,1399.86,1469.82,1434.53,1340.37,1173.37,288.36,0.0,1138.43,0.0,956.99,881.1,849.61,792.97,800.48,897.93,1142.76,1272.81,24259.75
2026-02-01 17:25:16,1000.0,1000.0,1397.6,1000.0,1437.79,1496.26,1483.52,1486.96,1552.13,1505.34,1429.76,1262.66,307.84,0.0,1215.93,0.0,1070.49,1113.29,1006.33,943.95,943.02,1038.17,1223.61,1397.67,26312.32
2026-02-01 17:52:06,1000.0,1000.0,1464.05,1000.0,1509.68,1556.31,1553.19,1550.42,1602.11,1555.93,1495.24,1330.66,321.52,0.0,1274.83,0.0,1129.4,1144.45,1098.31,1044.19,1038.33,1130.04,1294.05,1466.36,27559.07
2026-02-01 18:31:07,1000.0,1000.0,1439.55,1000.0,1484.16,1525.41,1522.51,1520.92,1566.24,1523.88,1460.52,1302.73,316.38,0.0,1253.35,0.0,1099.19,1086.6,1071.97,1015.62,1007.94,1094.13,1264.41,1431.72,26987.23
2026-02-01 19:03:46,1000.0,1000.0,1473.18,1000.0,1519.38,1560.03,1553.37,1554.02,1594.07,1551.43,1493.46,1355.69,329.63,0.0,1304.86,0.0,1145.01,1132.91,1128.91,1065.97,1051.3,1130.32,1310.79,1478.57,27732.91
2026-02-01 19:38:45,1000.0,1000.0,1520.03,1000.0,1568.27,1597.68,1606.47,1571.22,1623.52,1575.02,1535.65,1404.11,341.48,0.0,1367.58,0.0,1199.2,1161.39,1164.73,1101.5,1112.22,1187.62,1375.28,1540.12,28553.11
2026-02-01 19:56:19,1000.0,1000.0,1552.95,1000.0,1587.8,1617.88,1622.63,1613.4,1658.16,1612.43,1571.91,1438.1,352.36,0.0,1396.1,0.0,1216.78,1183.23,1187.33,1122.39,1129.79,1213.11,1394.18,1561.9,29032.43
2026-02-01 20:22:38,1000.0,1000.0,1539.62,1000.0,1575.94,1614.16,1614.46,1604.76,1651.74,1605.24,1559.96,1423.07,349.02,0.0,1385.85,0.0,1209.51,1160.81,1170.42,1109.22,1114.13,1197.63,1376.07,1551.1,28812.69
2026-02-01 20:51:44,1000.0,1000.0,1550.12,1000.0,1580.07,1614.66,1618.76,1601.74,1657.96,1608.67,1570.29,1426.87,349.93,0.0,1388.04,0.0,1207.01,1166.75,1171.67,1116.59,1117.5,1191.39,1370.05,1546.51,28854.59
2026-02-01 21:21:29,1000.0,1000.0,1564.12,1000.0,1594.01,1630.1,1637.75,1619.47,1663.77,1611.78,1575.38,1444.7,354.48,0.0,1407.51,0.0,1218.19,1178.82,1179.9,1110.32,1130.38,1204.48,1394.96,1568.15,29088.27
2026-02-01 21:47:04,1000.0,1000.0,1543.42,1000.0,1583.27,1621.74,1625.73,1611.85,1647.65,1601.98,1569.81,1439.44,353.17,0.0,1403.64,0.0,1218.07,1178.09,1177.45,1109.99,1133.1,1226.51,1411.28,1554.98,29011.17
2026-02-01 22:02:49,1000.0,1000.0,1542.6,1000.0,1587.98,1627.18,1632.22,1610.63,1646.61,1603.85,1573.0,1440.13,353.21,0.0,1409.49,0.0,1219.13,1176.47,1175.67,1112.97,1131.18,1238.25,1401.64,1559.37,29041.58
2026-02-01 22:29:04,1000.0,1000.0,1548.54,1000.0,1588.62,1627.25,1633.51,1611.23,1644.83,1601.88,1573.32,1444.49,352.91,0.0,1410.65,0.0,1220.43,1175.02,1169.93,1103.18,1131.14,1249.95,1403.14,1550.23,29040.25
2026-02-01 22:52:42,1000.0,1000.0,1526.04,1000.0,1574.75,1610.61,1619.04,1587.72,1622.83,1581.16,1555.31,1421.5,347.16,0.0,1394.52,0.0,1212.2,1149.39,1139.24,1076.66,1093.87,1222.83,1375.42,1542.51,28652.74
2026-02-01 23:22:48,1000.0,1000.0,1542.21,1000.0,1607.15,1646.32,1652.23,1617.44,1648.29,1610.28,1589.26,1450.89,352.99,0.0,1423.08,0.0,1241.14,1202.79,1183.83,1130.45,1158.75,1280.6,1436.51,1545.85,29320.06
2026-02-01 23:49:47,1000.0,1000.0,1496.49,1000.0,1564.17,1606.99,1609.87,1569.09,1610.23,1564.01,1537.93,1388.6,337.43,0.0,1367.25,0.0,1204.34,1150.26,1138.86,1081.13,1103.83,1222.57,1370.05,1467.1,28390.18
2026-02-02 01:49:25,1000.0,1000.0,1447.69,1000.0,1549.47,1580.01,1587.48,1491.15,1542.36,1508.11,1477.59,1300.0,311.31,0.0,1317.78,0.0,1188.5,1148.83,1136.71,1084.74,1097.3,1264.27,1419.32,1442.02,27894.63
2026-02-02 02:08:37,1000.0,1016.45,1447.93,1000.0,1551.08,1589.28,1594.91,1504.09,1545.2,1521.98,1489.62,1304.11,311.88,0.0,1309.79,0.0,1199.78,1164.11,1146.77,1098.88,1114.27,1285.31,1442.26,1456.88,28094.58,24000.0
2026-02-02 02:18:36,1000.0,1017.02,1474.2,1000.0,1556.01,1591.99,1599.64,1504.96,1548.16,1522.97,1491.75,1307.44,312.67,0.0,1314.65,0.0,1208.8,1175.96,1160.03,1112.11,1127.43,1303.44,1461.19,1482.22,28272.65,24000.0
2026-02-02 04:24:06,1000.0,1132.76,1699.04,1000.0,1585.96,1640.45,1644.8,1627.52,1638.6,1635.9,1614.14,1436.93,341.22,0.0,1363.44,0.0,1303.77,1293.75,1269.23,1231.99,1261.21,1439.96,1620.64,1685.79,30467.1,24000.0
